ID	Age	Sex	Valence	ValenceNum	Framing	FramingNum	emot_option_sure	emot_option_risk	risky_choice	valence_pre	excitation_pre	fear_pre	amusement_pre	sadness_pre	disgust_pre	anger_pre	joy_pre	valence_post	excitation_post	fear_post	amusement_post	sadness_post	disgust_post	anger_post	joy_post
78	24	female	Sad	2	Gain	2	3	1	1	2	3	2	2	3	2	3	2	1	5	4	1	5	1	4	1
79	28	female	Neutral	0	Loss	1	3	2	0	3	2	1	4	1	1	2	4	3	1	1	4	1	1	1	4
8	30	male	Joy	1	Loss	1	2	1	0	3	1	1	4	1	1	1	4	3	3	3	3	3	1	1	3
80	24	female	Joy	1	Loss	1	3	2	0	4	1	1	4	1	1	1	6	4	4	1	6	1	1	1	7
81	24	male	Sad	2	Loss	1	2	3	1	3	1	1	2	1	1	1	2	2	3	1	1	4	2	2	1
82	29	male	Neutral	0	Gain	2	4	2	0	3	3	1	3	1	1	1	4	4	3	1	3	1	1	1	4
83	22	female	Joy	1	Gain	2	4	2	0	4	4	1	4	1	1	1	4	5	5	1	5	2	1	1	5
84	32	female	Sad	2	Gain	2	3	2	0	5	5	1	6	1	1	2	6	1	4	4	2	5	3	2	2
85	21	female	Neutral	0	Loss	1	2	2	0	4	2	1	3	1	1	1	5	4	2	1	3	1	1	1	5
86	28	female	Joy	1	Loss	1	2	1	0	4	3	1	5	1	1	1	5	4	3	1	5	1	1	1	6
87	26	male	Sad	2	Loss	1	1	3	1	5	4	1	6	1	1	1	7	1	5	1	1	4	2	2	2
88	34	male	Neutral	0	Gain	2	4	2	0	4	3	1	3	1	1	1	5	4	3	1	3	1	1	1	5
89	24	female	Joy	1	Gain	2	4	1	0	2	4	3	1	3	2	3	1	4	5	1	2	2	1	2	3
9	26	female	Sad	2	Loss	1	2	2	1	3	1	2	8	1	1	1	8	2	4	7	2	9	4	3	2
90	38	female	Sad	2	Gain	2	2	3	0	3	3	1	2	1	2	2	3	1	5	2	1	5	3	4	1
